スキル名,アイコン,タイプ,コスト,CD,スキル所持,説明,min,max,range,square,squareR,rect,line,lineR,low,high,rowRange,highRange,comment,exception
火傷の一撃(魔法),./img/skillIMG/火傷の一撃(魔法).png,通常攻撃;魔法ダメージ,-,-,ルヴァタ;ベラ;炎の魔女,通常攻撃：80%の魔法ダメージを与え、ターゲットに火傷を付与し、2ターン継続する。,1,2,-1,,,,,,5,3,,,遠距離;対ユニット,
炎の翼,./img/skillIMG/炎の翼.png,通常攻撃;魔法ダメージ,-,-,ルヴァタ,通常攻撃：単体攻撃で90%の火属性魔法ダメージを与え、強制的にパネルを燃焼に変える。,1,3,-1,,,,,,8,8,,,対ユニット,
炎の翼・紅蓮涅槃,./img/skillIMG/炎の翼・紅蓮涅槃.png,魔法ダメージ,5,-,ルヴァタ,魔法ダメージ：ターゲットパネルの範囲2マス以内のランダムな敵に、6回攻撃する。<br>各攻撃はターゲット範囲1マス以内のすべての敵に20%の範囲ダメージを与え、最初の3回の攻撃はダメージを与えた後に火傷を付与し、2ターン継続する。<br>もし、最初に選択したターゲットパネルの範囲2マス以内に、燃焼パネルがあった場合、それを吸収し、3回の攻撃後、追加で1回の着火を付与し、2ターン継続する。,1,4,2,,,,,,8,8,2,2,対地面,
星落としの炎,./img/skillIMG/星落としの炎.png,魔法ダメージ,4,-,ルヴァタ,魔法ダメージ：ターゲットパネルを選択し、範囲3マス内に燃焼パネルが存在していなかった場合、範囲内のすべての敵に70%火属性範囲ダメージを与え、中心および範囲Ⅰ輪以内のパネルを強制的に燃焼に変える。<br>燃焼パネルが存在していた場合、範囲内のすべての敵への与ダメージが140%にアップし、燃焼パネルを吸収する。,1,4,3,,,,,,8,8,2,2,対地面,
断罪,./img/skillIMG/断罪.png,貫通ダメージ,2,-,コヴァレ,貫通ダメージ：ターゲットに100%魔攻値のHP流出、▽移動Lv.1、素早さLv.2を付与し、2ターン継続する。<br>ターゲットが名簿を所持する場合、攻撃前、すべてのバフを解除し、自身魔攻値100%のダメージを与え、このスキルによるHP流出の継続時間ｰ1ターン。,1,4,-1,,,,,,2,2,,,遠距離;対ユニット,
勝利の決意,./img/skillIMG/勝利の決意.png,即時;支援,-,-,コヴァレ,即時。<br>ターゲットに潜在覚醒を付与し、2ターン継続する。<br>発動後、スキルは御風の火に変化する。<br>コヴァレのコレクション系。<br><br>コヴァレのコレクション<br>以下のスキルは発動後、順番に次のスキルに変化し、すべてのスキルは1回の戦闘で最大1回使用できる。<br>[勝利の決意]：即時。<br>ターゲットに[潜在覚醒]を付与する。<br>[御風の火]：ターゲット十字範囲1マス以内のすべての敵に、60%の[火属性][範囲ダメージ]を与え、2回の[着火]を付与し、2ターン継続する。<br>[万能の富]：即時。<br>ターゲットのENをすべて回復する。<br>[海凍結の寒さ]：範囲内の敵に100%の[氷属性][範囲ダメージ]を与え、[凍傷]を付与する。<br>[千金の力]：即時。<br>ターゲットのHPをすべて回復する。<br>[雷霆の怒り]：単体攻撃。<br>180%のダメージを与え、攻撃前にターゲットが所持する[バフ]をすべて解除し、攻撃後即座にターゲットの所持する[名簿]とすべての[持続ダメージ]系効果を発動させる。,1,4,-1,,,,,,2,2,,,遠距離;対ユニット,
御風の火,./img/skillIMG/御風の火.png,魔法ダメージ,-,-,コヴァレ,ターゲット十字範囲1マス以内のすべての敵に、60%の[火属性][範囲ダメージ]を与え、2回の[着火]を付与し、2ターン継続する。,1,4,1,,,,,,2,2,2,2,範囲攻撃;対ユニット,
万能の富,./img/skillIMG/万能の富.png,支援;即時,-,-,コヴァレ,即時。<br>ターゲットのENをすべて回復する。,1,4,0,,,,,,2,2,,,対ユニット,
海凍結の寒さ,./img/skillIMG/海凍結の寒さ.png,魔法ダメージ,-,-,コヴァレ,範囲内の敵に100%の[氷属性][範囲ダメージ]を与え、[凍傷]を付与する。,1,4,1,,,,,,2,2,2,2,範囲攻撃;対ユニット,
千金の力,./img/skillIMG/千金の力.png,回復;即時,-,-,コヴァレ,即時。<br>ターゲットのHPをすべて回復する。,1,4,0,,,,,,2,2,,,対ユニット,
雷霆の怒り,./img/skillIMG/雷霆の怒り.png,魔法ダメージ,-,-,コヴァレ,単体攻撃。<br>180%のダメージを与え、攻撃前にターゲットが所持する[バフ]をすべて解除し、攻撃後即座にターゲットの所持する[名簿]とすべての[持続ダメージ]系効果を発動させる。,1,4,0,,,,,,2,2,,,遠距離;対ユニット,
刻骨の蝕,./img/skillIMG/刻骨の蝕.png,パッシブ,-,-,コヴァレ,パッシブ：行動終了時、自身範囲3マス以内のランダムな敵1体にランダムな2個のLv.1能力値デバフと40%魔攻値のHP流出を付与し、2ターン継続する。,,,,,,,,,,,,,,
先勝後戦,./img/skillIMG/先勝後戦.png,パッシブ,-,-,コヴァレ,パッシブ：フィールド上の1人の名簿を所持する敵が倒されるごとにHPを20%、ENを1pt回復し、ランダムで2個Lv.2バフを獲得し、2ターン継続する。,,,,,,,,,,,,,,
コヴァレの贈与,./img/skillIMG/コヴァレの贈与.png,回復,-,1回,コヴァレ,回復：ターゲットを回復する。<br>回復量は魔攻値の40%に相当し、ターゲットに自身の被ダメージの50%を分担するようになる(1回の分担ダメージ量はコヴァレ最大HPの70%を超えない)。<br>2ターン継続し、解除不可、無効化不可。<br>ターゲットが敵である場合、スタンを付与し、1ターン継続する。<br>ターゲットが味方である場合、△攻撃Lv.2、△ダメージLv.2、被ダメージ軽減Lv.2を付与し、2ターン継続する。<br>このスキルは1戦で最大1回発動する。,,,,,,,,,,,,,,
闇の手,./img/skillIMG/闇の手.png,リアクション,-,-,コヴァレ;エンフォーサー,リアクション：アクティブ攻撃を受けた場合、被ダメージ?8%。<br>ターゲットのランダムな能力値バフ2個を盗む。,,,,,,,,,,,,,,
庇護の黴章,./img/skillIMG/庇護の黴章.png,リアクション,-,-,コヴァレ,リアクション：範囲攻撃を受けた後、自身周囲2マス以内のすべての味方に、スキル発動者のHP30%の相応ダメージ種類のシールドを付与し、2ターン継続する。<br>1種のシールドごとにそれぞれ1戦で最大1回発動する。<br>自身がシールドを所持する場合、被ダメージｰ10%。,,,,,,,,,,,,,,
侵蝕秘術,./img/skillIMG/侵蝕秘術.png,魔法ダメージ,2,-,コヴァレ;カリス,魔法ダメージ：単体攻撃。<br>100%のダメージを与える。<br>攻撃前、ターゲットにランダムなLv.2能力値デバフを3個付与し、2ターン継続する。,1,3,-1,,,,,,8,8,,,遠距離;対ユニット,
腐敗凋零,./img/skillIMG/腐敗凋零.png,デバフ,1,5,コヴァレ;ハスナ;輝ける光の鞭;深淵の心,デバフ：ターゲットの範囲2マス以内のすべての敵に魔攻値50%のHP流失、▽被回復を付与し、2ターン継続する。,1,3,2,,,,,,8,8,2,2,範囲攻撃;対ユニット,
感染の一撃(魔法),./img/skillIMG/感染の一撃(魔法).png,通常攻撃;魔法ダメージ,-,-,コヴァレ,通常攻撃：80%の魔法ダメージを与え、ターゲットに1スタックの感染を付与する。,1,2,-1,,,,,,5,3,,,遠距離;対ユニット,
沈黙の一撃(魔法),./img/skillIMG/沈黙の一撃(魔法).png,通常攻撃;魔法ダメージ,-,-,コヴァレ;癒しの手,通常攻撃：80%の魔法ダメージを与える。<br>攻撃前、負傷状態の敵に?アクティブスキルを付与し、2ターン継続する。,1,2,-1,,,,,,5,3,,,遠距離;対ユニット,
雨見に浸る至福の一時,./img/skillIMG/雨見に浸る至福の一時.png,貫通ダメージ,-,3,コヴァレ,貫通ダメージ：自身範囲6マス以内のすべての敵に魔攻値40%の貫通ダメージを与え、持続ダメージ系のスキル効果を発動させ取り除く。<br>ターゲットが名簿を所持している場合、攻撃前に追加で貫通虚弱Lv.2、?リアクション、?パッシブスキルおよび孤立を付与し、すべて2ターン継続する。<br>攻撃後ターゲットの所持する名簿を発動させ取り除く。,,,6,,,,,,2,2,,,範囲攻撃;対地面,
終焉,./img/skillIMG/終焉.png,パッシブ,-,-,コヴァレ,パッシブ：スキル雨見に浸る至福の一時が持続ダメージ効果を発動させ取り除かなくなる代わりに、ダメージ+100%。<br>即時ではないアクティブスキルでダメージを与えた際、ターゲットに追加で魔攻値60%のHP流出を付与し、1ターン継続する。,,,,,,,,,,,,,,
強襲指令,./img/skillIMG/強襲指令.png,支援,2,-,サフィア・夏時の約束,支援：ターゲット味方に強襲指令を付与し、1ターン継続する。<br>さらに、発動者の60%の物攻値+魔攻値に相当するHPを回復する。,1,6,-1,,,,,,8,8,,,対ユニット,
荘厳,./img/skillIMG/荘厳.png,オーラ,-,-,サフィア・夏時の約束,オーラ：自身範囲2マス以内のすべての敵の攻撃力-10%。,,,,,,,,,,,,,,
戦線配置,./img/skillIMG/戦線配置.png,即時;支援,-,3,サフィア・夏時の約束,即時。<br>ターゲット味方をその範囲5マス以内の任意空地に移動させる(特殊地形効果に影響される)。,1,3,-1,,,,,,5,3,,,遠距離;対ユニット,
狙撃手掩護を,./img/skillIMG/狙撃手掩護を.png,支援,-,2,サフィア・夏時の約束,支援：自身が1回の回避を獲得し、1ターン継続する。<br>前方3×5エリア内に警戒を行い、物攻値150%の魔法ダメージを与え、敵の行動を中断させる。<br>攻撃後、ターゲットに弱点洞察を付与し、1ターン継続する。,1,1,35,,,1,,,2,2,2,2,対地面,
用意周到,./img/skillIMG/用意周到.png,パッシブ,-,-,サフィア・夏時の約束,パッシブ：行動終了時、フィールド上のHPが最も低い味方2人を回復させ、回復量は物攻値+魔攻値の40%。<br>待機を実行する時、追加で1回発動する。<br>回復量は物攻値+魔攻値の20%。,,,,,,,,,,,,,,
急所回避,./img/skillIMG/急所回避.png,リアクション,-,-,サフィア・夏時の約束;王国軍・長槍兵;無法者・斧盾兵;無法者・刺客;無法者・弩兵;無法者・弓兵,リアクション：アクティブ攻撃を受けた場合、被ダメージ-8%、被クリティカル発生率ダメージ-30%。,,,,,,,,,,,,,,
戦地回復,./img/skillIMG/戦地回復.png,リアクション,-,-,サフィア・夏時の約束;フレア,リアクション：アクティブ攻撃を受けた場合、被ダメージ-8%。<br>アクティブ攻撃を受けた後、自身範囲2マス以内のHP割合がもっとも低い味方を回復させる。<br>回復量は魔防値の100%。,,,,,,,,,,,,,,
緋色の記憶,./img/skillIMG/緋色の記憶.png,陣営オーラ,-,-,サフィア・夏時の約束,陣営オーラ：フィールド上の陣営が<緋色の夜>の味方の攻撃力+10%、防御力+20%。,,,,,,,,,,,,,,
共に行こう,./img/skillIMG/共に行こう.png,支援,2,-,サフィア・夏時の約束,支援：自身範囲3マス以内の味方全員に攻撃支援、防御支援を付与し、3ターン継続する。<br>ターゲットが<イリヤ>または<緋色の夜>陣営の場合、攻撃支援、防御支援で味方数量を計算する時に追加で+1する。,,,3,,,,,,,,2,2,範囲攻撃;対地面,
協同作戦,./img/skillIMG/協同作戦.png,物理ダメージ,-,-,サフィア・夏時の約束;サフィア,単体攻撃。<br>80%の物理ダメージを与え、吊し人のマークを付与し、2ターン継続する。<br>ターゲット3マス以内の最も近くにいる味方1人が通常攻撃で援護攻撃を行い、50%のダメージを与える。<br><br>夏サフィアがRK9「協同作戦」を習得し、サフィア(オリジナル)を星3まで強化することで「シルエットスキル」が解放されます。,1,3,-1,,,,,,5,3,,,遠距離;対ユニット,
活力の一撃(近距離),./img/skillIMG/活力の一撃(近距離).png,通常攻撃;物理ダメージ,-,-,サフィア・夏時の約束;レオニード;イギー;静謐の戒め;胡蝶,通常攻撃：100%の物理ダメージを与え、追加で1ptのENを回復する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
機動隊！エース戦術,./img/skillIMG/機動隊！エース戦術.png,支援,-,-,サフィア・夏時の約束,支援：ターゲットに弱点洞察を付与し、2ターン継続する。<br>ターゲット範囲3マス以内のターゲットとの距離が最も近い味方4人に通常攻撃での援護攻撃を発動させ、50%のダメージを与える。,1,5,-1,,,,,,8,8,,,対ユニット,
新生,./img/skillIMG/新生.png,回復,2,5,サフィア・夏時の約束,回復：フィールド上の味方全員のHPを30%回復、△攻撃Lv.1、△魔防Lv.1を付与し、2ターン継続する。,,,99,,,,,,,,8,8,対地面,
影刃の追撃,./img/skillIMG/影刃の追撃.png,リアクション,-,-,サフィア・夏時の約束;サフィア,リアクション：自身範囲3マス以内に吊し人のマークを所持する敵に援護攻撃をすると、50%の物理ダメージを与え、1ターンで最大1回発動する。,,,,,,,,,,,,,,
横暴な重撃,./img/skillIMG/横暴な重撃.png,物理ダメージ,2,-,リラ;エンフォーサー,物理ダメージ：単体攻撃。<br>130%のダメージを与える。<br>攻撃前、自身が△物防Lv.2、△魔防Lv.2を獲得し、2ターン継続する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
防御支援,./img/skillIMG/防御支援.png,パッシブ,-,-,リラ;マイサ;王国軍・剣盾兵,パッシブ：自身範囲2マス以内にいる他の味方1体につき、防御力+10%、最大40%。,,,,,,,,,,,,,,
警察用投げ縄,./img/skillIMG/警察用投げ縄.png,支援;即時,3,3回,リラ;ラヴィア・初夏の記憶;軍医「口苦し」,(支援)即時。<br>ターゲットに拘束、▽攻撃Lv.2及び?援護を付与し、2ターン継続する。<br>ターゲットが拘束状態である場合、さらにスタンを付与し、2ターン継続する。<br>3回使用可能。,1,2,-1,,,,,,5,3,,,遠距離;対ユニット,
預ける背中,./img/skillIMG/預ける背中.png,支援;即時,2,3,リラ,支援：即時、自身範囲4マス以内の他の味方を隣にワープさせ、自身が援護防御、ブロック強化Lv.2、同舟を獲得する。<br>すべての効果は2ターン継続する。,,,4,,,,,,,,2,2,対ユニット,
避難港,./img/skillIMG/避難港.png,支援,-,3,リラ,支援：自身が被ダメージ軽減Lv.4を獲得し、自身範囲3マス以内のすべての味方に△物防Lv.2、△魔防Lv.2、被貫通ダメ軽減Lv.3を獲得し、すべての効果は2ターン継続する。,,,3,,,,,,,,8,8,対ユニット,
柔花,./img/skillIMG/柔花.png,リアクション,-,-,リラ,リアクション：正面・側面の敵から遠距離攻撃を受ける時、攻撃者の素早さが自身より低い場合、すべての攻撃を回避し、1ターンで最大1回発動する。<br>回避時、攻撃者方向3×4エリア内の1個のランダムなターゲットに、60%の物理ダメージを与える。,,,,,,,,,,,,,,
緋色の夜,./img/skillIMG/緋色の夜.png,陣営オーラ,-,-,リラ,陣営オーラ：フィールド上の陣営が〈緋色の夜〉のすべての味方は、攻撃力+10%、防御力+20%、ダメージ+12%。,,,,,,,,,,,,,,
雲影一掃,./img/skillIMG/雲影一掃.png,物理ダメージ,3,-,リラ,物理ダメージ：自身範囲2マス以内のすべての敵に、3回の25%の範囲ダメージを与える。<br>ダメージを与えた後、虚弱Lv.2を付与し、2ターン継続する。<br>攻撃後、イチハツの姿、斬り捨てを獲得し、すべての効果は1ターン継続する。,,,2,,1,,,,,,,,範囲攻撃;対地面,
杖剣,./img/skillIMG/杖剣.png,通常攻撃;物理ダメージ,-,-,リラ,通常攻撃：単体攻撃。<br>75%の物理ダメージを与える。<br>攻撃前、ターゲットがデバフを3個以上所持する場合、35%の物理ダメージを2回与える。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
戦場通行,./img/skillIMG/戦場通行.png,パッシブ,-,-,リラ,パッシブ：被ダメージ-15%、火傷とスキル中断効果を無効化する。<br>行動終了時、自身範囲2マス以内の敵の罠及び特殊地形効果を解除する。,,,,,,,,,,,,,,
迎撃姿勢,./img/skillIMG/迎撃姿勢.png,パッシブ,-,-,リラ,パッシブ：自身魔防値の40%を物攻値に付加し、戦闘開始時、HP+10%。,,,,,,,,,,,,,,
爆裂晶塵,./img/skillIMG/爆裂晶塵.png,物理ダメージ,2,-,トリスタ,物理ダメージ：ターゲット範囲2マス以内のすべての敵に85%のダメージを与え、ランダムなLv.2能力値デバフを1個付与し、2ターン継続する。,1,3,2,,,,,,8,8,2,2,範囲攻撃;対地面,
激怒の追撃,./img/skillIMG/激怒の追撃.png,物理ダメージ,2,-,トリスタ;グズマン,物理ダメージ：単体攻撃。<br>120%のダメージを与える。<br>ターゲットを倒せなかった場合、現在のHP20%を犠牲に追撃を行い、さらに60%のダメージを与える。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
追撃ノックバック,./img/skillIMG/追撃ノックバック.png,物理ダメージ,3,-,トリスタ;アガタ;王国軍・長槍兵,物理ダメージ：単体攻撃。<br>70%のダメージを与える。<br>攻撃後、追撃を行い、70%のダメージを与え、2マスノックバックする。,1,1,-1,,,,,,,,,,近接;対ユニット,
熱血突進,./img/skillIMG/熱血突進.png,支援;即時,-,3,トリスタ,支援：即時。<br>1輪以内の地点に突撃し、△ダメージLv.2を獲得し、1ターン継続する。<br>攻撃後、スキルは熱血頭突に変化し、2ターン継続する。,1,1,-1,1,,,,,1,1,,,対地面,
熱血頭突,./img/skillIMG/熱血頭突.png,物理ダメージ,-,1,トリスタ,即時。<br>自身十字範囲内の敵を1体選択し、その近くに突撃し、70%のダメージを与え、2マスノックバックする。<br>攻撃後、スキルは[熱血突進]に変化する。,1,3,-1,,,,1,,,,,,近接;対ユニット,
燃焼する血,./img/skillIMG/燃焼する血.png,パッシブ,-,-,トリスタ,パッシブ：健康状態の場合、自身15%の魔攻値を物攻値に不可する。<br>負傷状態の場合、自身25%の魔攻値を物攻値に不可する。<br>暴走状態を所持する場合、効果が二倍になる。,,,,,,,,,,,,,,
ストリートスタイル,./img/skillIMG/ストリートスタイル.png,リアクション,-,-,トリスタ,リアクション：被近接ダメージｰ20%。<br>先制、反撃された時、ブロックを行い、さらに被ダメージｰ50%。<br>反撃された後、追加で攻撃を行い、70%の物理ダメージを与える。<br>1ターンで最大1回発動する。,,,,,,,,,,,,,,
防御・矢,./img/skillIMG/防御・矢.png,リアクション,-,-,トリスタ;ココア;モモ;深淵の心;炎の魔女;法皇国・剣盾兵;傭兵・弓兵,リアクション：遠距離攻撃を受けた場合、被ダメージ-25%。,,,,,,,,,,,,,,
一撃葬送,./img/skillIMG/一撃葬送.png,物理ダメージ,3,2,トリスタ,物理ダメージ：単体攻撃。<br>20%のダメージを与え、1マスノックバックする。<br>ターゲット範囲2マス以内のすべての敵に110%の火属性範囲ダメージを与える。<br>暴走状態でない場合、攻撃後、自身が範囲4マス以内最も近くにいる味方の隣にワープする。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
ピンポイント爆破,./img/skillIMG/ピンポイント爆破.png,デバフ;即時,2,3,トリスタ,デバフ：即時。<br>ターゲットにピンポイント爆破を付与する。,2,4,-1,,,,,,5,3,,,対ユニット,
封印の一撃(近距離),./img/skillIMG/封印の一撃(近距離).png,通常攻撃;物理ダメージ,-,-,トリスタ;ガルシア;サフィア,通常攻撃：100%の物理ダメージを与える。<br>攻撃前、負傷状態の敵に?パッシブスキルを付与し、2ターン継続する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
致命の一撃(近距離),./img/skillIMG/致命の一撃(近距離).png,通常攻撃;物理ダメージ,-,-,トリスタ;ナルギル;ラヴィア;胡蝶,通常攻撃：100%の物理ダメージを与える。<br>クリダメ+15%。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
家族,./img/skillIMG/家族.png,パッシブ,-,-,トリスタ,パッシブ：健康状態の場合、自身範囲2マス以内の他の味方を援護防御する。<br>瀕死状態の場合、自身範囲2マス以内の他の味方が援護防御をしてくれる。<br>任意の効果が発動した後、自身範囲3マス以内のすべての味方ユニットが△攻撃Lv.2、被ダメージ軽減Lv.2を獲得し、2ターン継続する。<br>1ターンで最大1回発動する。,,,,,,,,,,,,,,
壊滅ストーム,./img/skillIMG/壊滅ストーム.png,物理ダメージ,3,2,トリスタ;ダンタリオン,物理ダメージ：自身範囲4マス以内の敵全員に50%の範囲ダメージを与え、ランダムなLv.2能力値デバフ2個を付与し、2ターン継続する。,,,4,,,,,,,,2,2,範囲攻撃;対地面,
高速連撃,./img/skillIMG/高速連撃.png,物理ダメージ,2,-,パミーナ,物理ダメージ：単体攻撃。<br>20%のダメージを与え、ターゲットの2個のバフを解除し、さらに追撃し、130%のダメージを与える。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
破陣の槍,./img/skillIMG/破陣の槍.png,選択,-,-,パミーナ,選択：破陣・強剛、破陣・無敵から使用するスキルを選択してください。<br><br>破陣・強剛<br>ターゲット1マス範囲内すべての敵に、3回50%の[範囲ダメージ]を与える。<br>攻撃前に[シールドブレイクLv.4]を獲得する。<br>ターゲットが[瀕死]状態の場合、防御力を80%無視し、攻撃前に[?不屈]を付与する。<br><br>破陣・無敵<br>目標方向の1×5エリア内にいる敵全員に110%の[範囲ダメージ]を与え、最初の敵を2マスノックバックする,,,,,,,,,,,,,,
破陣・強剛,./img/skillIMG/破陣・強剛.png,物理ダメージ,2,-,パミーナ,ターゲット1マス範囲内すべての敵に、3回50%の[範囲ダメージ]を与える。<br>攻撃前に[シールドブレイクLv.4]を獲得する。<br>ターゲットが[瀕死]状態の場合、防御力を80%無視し、攻撃前に[?不屈]を付与する。,1,1,1,,,,,,,,2,2,範囲攻撃;対地面,
破陣・無敵,./img/skillIMG/破陣・無敵.png,物理ダメージ,2,-,パミーナ,目標方向の1×5エリア内にいる敵全員に110%の[範囲ダメージ]を与え、最初の敵を2マスノックバックする,1,1,15,,,1,,,2,2,2,2,範囲攻撃;対地面,
匹敵する者なし,./img/skillIMG/匹敵する者なし.png,支援,-,3,パミーナ,支援：ターゲットに被挑発を付与し、自身がHPを30%回復し、受け身と被ダメ軽減Lv.2を獲得し、2ターン継続する。<br>さらに、自身範囲4マス以内のすべての味方に△防御Lv.2を付与し、2ターン継続する。<br>ターゲットが被挑発を無効化する場合、パミーナの試練を付与し、2ターン継続する。,1,3,-1,,,,,,8,8,,,対ユニット,
勢い斬り,./img/skillIMG/勢い斬り.png,パッシブ,-,-,パミーナ;マイティ;破断の旋風;テンペスト,パッシブ：アクティブ攻撃後、自身範囲1輪内の敵全員に20%の物理ダメージを与える。,,,,,,,,,,,,,,
不動の姿,./img/skillIMG/不動の姿.png,パッシブ,-,-,パミーナ,パッシブ：被ダメージ-15%。<br>範囲攻撃の時、自身物防値と魔防値の合計の15%を物攻値に追加する。,,,,,,,,,,,,,,
浩然の気,./img/skillIMG/浩然の気.png,リアクション,-,1,パミーナ,リアクション：被回復効果+15%。<br>行動開始時、自身のデバフを3個解除し、自身がデバフを所持しない場合、HPを20%回復させる。,,,,,,,,,,,,,,
シールドブレイク突き,./img/skillIMG/シールドブレイク突き.png,物理ダメージ,2,3,パミーナ,物理ダメージ：ターゲット方向3×2エリア内の毎列の敵の一番目に60%の範囲ダメージを与え、▽物防Lv.2を付与し、2ターン継続し、2マスノックバックする。,1,1,32,,,1,,,2,2,2,2,範囲攻撃;対地面,
冲陣・無敵,./img/skillIMG/冲陣・無敵.png,物理ダメージ,3,4,パミーナ,物理攻撃：ターゲット地点にジャンプし、ターゲット範囲2マス以内のすべての敵に70%の範囲ダメージを与え、被挑発、虚弱Lv.2を付与し、1ターン継続する。<br>攻撃後、自身が冲陣を獲得し、2ターン継続する。<br>ターゲットが被挑発を無効化する場合、パミーナの試練を付与し、2ターン継続する。,2,4,2,,,,,,5,3,2,2,対地面,
必中の一撃(近距離),./img/skillIMG/必中の一撃(近距離).png,通常攻撃;物理ダメージ,-,-,パミーナ;レオニード;閃く刃,通常攻撃：100%の物理ダメージを与え、ターゲットに?回避を付与し、1ターン継続する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
強力な一撃(近距離),./img/skillIMG/強力な一撃(近距離).png,通常攻撃;物理ダメージ,-,-,パミーナ;ラヴィア・初夏の記憶;イギー;ティードン;マイサ;王国の槍「烈嘯」;破断の旋風;紅のハヤブサ,通常攻撃：110%の物理ダメージを与える。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
反撃斬り,./img/skillIMG/反撃斬り.png,支援,3,4,パミーナ,支援：自身がカウンターと反撃斬りを獲得し、2ターン継続する。,,,0,,,,,,,,,,対ユニット,
大至急,./img/skillIMG/大至急.png,パッシブ,-,-,パミーナ,パッシブ：素早さ+50%。<br>健康状態である場合、被ダメージｰ20%。,,,,,,,,,,,,,,
疾風乱舞・真意,./img/skillIMG/疾風乱舞・真意.png,物理ダメージ,2,-,ラヴィア・初夏の記憶,(物理ダメージ)自身範囲3マス以内のすべての敵に65%の範囲ダメージを与える。<br>攻撃後、スキルは疾風乱舞・決意に変化し、1ターン保留する。<br><br>【変化スキル】：疾風乱舞・決意<br>自身2マス範囲内の敵全員に、85%の範囲ダメージを与える。<br>攻撃後、スキルは疾風乱舞・真意に変化する。,,,3,,,,,,,,2,2,範囲攻撃;対地面,
疾風・穿雲,./img/skillIMG/疾風・穿雲.png,物理ダメージ;即時,-,3,ラヴィア・初夏の記憶,(物理ダメージ)即時。<br>自身十字範囲3マス以内の地点を1つ選択して突撃し、経路上の敵に15%のダメージを与え、1個のバフを奪取。<br>敵に命中すると、このスキルのCDは1ターン短縮し、次にアクティブスキルを発動する時、ダメージ+15%,2,3,13,,,,1,1,1,1,2,2,範囲攻撃;対地面,
疾風・断空,./img/skillIMG/疾風・断空.png,パッシブ,-,-,ラヴィア・初夏の記憶;ラヴィア,(パッシブ)アクティブ行動で物理ダメージを与えた後、自身範囲2マス以内のすべての敵に15%の物理ダメージを与え、ランダムなLv.2能力値デバフを1個付与し、2ターン継続する。<br>1ターンで最大3回発動する。,,,,,,,,,,,,,,
機動隊隊員,./img/skillIMG/機動隊隊員.png,パッシブ,-,-,ラヴィア・初夏の記憶;狙撃教官「鋭い一閃」,(パッシブ)素早さ+100pt。<br>攻撃前、ターゲットの素早さが自身より低い場合、与ダメージ+10%、ターゲットのリアクションスキルを無視する。,,,,,,,,,,,,,,
怒っ！た！ぞ！,./img/skillIMG/怒っ！た！ぞ！.png,リアクション,-,-,ラヴィア・初夏の記憶,リアクション：不屈を所持する。<br>フィールド上の他の味方が倒された時、自身がHPを全回復し、△ダメージLv.3と被ダメ軽減Lv.3を獲得し、2ターン継続する。,,,,,,,,,,,,,,
緊急回避,./img/skillIMG/緊急回避.png,リアクション,-,-,ラヴィア・初夏の記憶;サフィア;スティンガー;紅のハヤブサ,リアクション：アクティブ攻撃を受ける時、被ダメージ-8%。<br>アクティブ攻撃を受けた後、自身が瀕死状態の場合、回避を獲得し、1ターンで最大1回発動し、1ターン継続する。,,,,,,,,,,,,,,
疾風剣・乱撃,./img/skillIMG/疾風剣・乱撃.png,物理ダメージ,4,-,ラヴィア・初夏の記憶,(物理ダメージ)ターゲット方向の5×3エリア内のすべての敵に3回25%のダメージを与える。<br>任意のアクティブスキルを1回発動すると、このスキルのダメージが3回35%のダメージにアップする。<br>任意のアクティブスキルを合計2回発動した場合、このスキルのダメージが3回50%のダメージにアップし、効果は行動終了まで継続する。,1,1,53,,,1,,,2,2,4,4,範囲攻撃;対地面,
疾風・研ぎ,./img/skillIMG/疾風・研ぎ.png,パッシブ,-,-,ラヴィア・初夏の記憶,(パッシブ)移動と突撃の距離が4マス以上の場合、攻撃後、ENを1pt回復する。<br>ターゲットを倒した場合、追加でENを1pt回復する。<br>すべての効果は1ターンで最大1回発動する。,,,,,,,,,,,,,,
拳を喰らえ！,./img/skillIMG/拳を喰らえ！.png,通常攻撃;物理ダメージ,-,-,ラヴィア・初夏の記憶,(通常攻撃)単体攻撃。<br>85%の物理ダメージを与え、1マスノックバックする。<br>攻撃後、スキルはあっち行け !! に変化し、2ターン保留する。<br><br>【変化スキル】：あっち行け !!<br>自身の十字範囲内の敵を1体選択し、その近くまで突撃し、110%の物理ダメージを与え、2マスノックバックさせる。<br>衝突時にターゲットをスタンさせる(1ターン)。<br>攻撃後、スキルは「拳を喰らえ!」に変化する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
